0.003677089 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=58849 TCP_ACK=336259 reassemble
0.003680942 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=60297 TCP_ACK=336259 reassemble
0.003673093 1125 PCP=4 (R=0 F=1 LCID=000100 L=1122) TCP_SEQ=61745 TCP_ACK=336259 opcua
0.000035554 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=339155 ack
0.000021402 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=342051 ack
0.000017202 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=344947 ack
0.000033782 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=347843 ack
0.000038021 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=350739 ack
0.000045508 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=353635 ack
0.000027157 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=356531 ack
0.000045271 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=359427 ack
0.000036998 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=362323 ack
0.000046511 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=365219 ack
0.000016570 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=368115 ack
0.000033853 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=371011 ack
0.000052513 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=373907 ack
0.000016363 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=376803 ack
0.000027804 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=379699 ack
0.000038843 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=382595 ack
0.000039663 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=62793 TCP_ACK=384693 ack
0.003536510 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=62793 TCP_ACK=384693 reassemble
0.003538610 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=64241 TCP_ACK=384693 reassemble
0.003537311 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=65689 TCP_ACK=384693 reassemble
0.003537297 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=67137 TCP_ACK=384693 reassemble
0.003516812 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=68585 TCP_ACK=384693 reassemble
0.003532036 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=70033 TCP_ACK=384693 reassemble
0.003539778 240 PCP=4 (R=0 F=0 LCID=000100 L=238) TCP_SEQ=71481 TCP_ACK=384693 opcua
0.000016176 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=387589 ack
0.000032377 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=390485 ack
0.000028664 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=393381 ack
0.000051322 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=396277 ack
0.000018926 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=399173 ack
0.000019121 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=402069 ack
0.000034874 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=404965 ack
0.000042017 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=407861 ack
0.000027915 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=410757 ack
0.000039678 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=413653 ack
0.000023042 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=416549 ack
0.000012826 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=419445 ack
0.000032554 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=71645 TCP_ACK=422341 ack
0.003217059 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=71645 TCP_ACK=423381 reassemble
0.003225499 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=73093 TCP_ACK=423381 reassemble
0.003196789 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=74541 TCP_ACK=423381 reassemble
0.003210684 1525 PCP=4 (R=0 F=1 LCID=000100 L=1522) TCP_SEQ=75989 TCP_ACK=423381 reassemble
0.003229531 1365 PCP=4 (R=0 F=1 LCID=000100 L=1362) TCP_SEQ=77437 TCP_ACK=423381 opcua
0.000038634 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=426277 ack
0.000031229 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=429173 ack
0.000014468 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=432069 ack
0.000014332 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=434965 ack
0.000017687 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=437861 ack
0.000040925 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=440757 ack
0.000034788 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=443653 ack
0.000040386 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=446549 ack
0.000022618 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=449445 ack
0.000016701 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=452341 ack
0.000041467 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=455237 ack
0.000038813 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=458133 ack
0.000040788 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=461029 ack
0.000045030 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=463925 ack
0.000018991 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=466821 ack
0.000016673 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=469717 ack
0.000044105 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=472613 ack
0.000025913 76 PCP=4 (R=0 F=0 LCID=000100 L=74) TCP_SEQ=78725 TCP_ACK=474455 ack
